goal_id,goal_level,label,description,phase_scope,success_conditions,prerequisite_rules,enabled,notes
G_MISSION_SURVIVAL,mission,Maximize colonist survival,Support as many colonists as possible by building a viable colony.,all,Colony support capacity maximized at end of mission.,R_MISSION_MAXIMIZE_SURVIVAL,True,Supergoal.
G_PLANNING_REDUCE_UNCERTAINTY,phase,Reduce uncertainty and plan,"Acquire shared and role information, integrate it, and form a workable plan.",planning,Sufficient shared/individual DIK and at least one viable team plan externalization exists.,,True,Planning-phase goal.
G_PHASE1_SUPPORT_50_CIV,phase,Support 50 civilians,Prepare colony to support the first wave of 50 civilians.,phase1,Validated colony support satisfies phase 1 target.,R_PHASE1_TARGET,True,Phase 1 goal.
G_PHASE2_SUPPORT_40_CIV_20_VIP,phase,Support phase 2 population,Adapt colony to support 40 civilians and 20 VIPs.,phase2,Validated colony support satisfies phase 2 target.,R_PHASE2_TARGET,True,Phase 2 goal.
G_ARCH_PROVIDE_SHELTER,role,Provide shelter,Ensure the colony has valid houses with enough capacity.,all,Validated housing capacity supports target colonists.,R_HOUSE_VALIDITY|R_HOUSE_SUPPORT_DEPENDENCY,True,Architect role goal.
G_BOT_PROVIDE_FOOD,role,Provide food,Ensure the colony has valid greenhouses and food support.,all,Validated greenhouse/food support satisfies demand.,R_GREENHOUSE_VALIDITY|R_GREENHOUSE_SUPPORT_DEPENDENCY,True,Botanist role goal.
G_ENG_PROVIDE_WATER,role,Provide water,Ensure the colony has valid water generators and water support.,all,Validated water support satisfies demand.,R_WATERGEN_VALIDITY|R_WATERGEN_SUPPORT_LIMIT,True,Engineer role goal.
G_TEAM_EXTERNALIZE_PLAN,support,Externalize team plan,Create or update a shared artifact representing colony plan or rule integration.,planning,At least one consulted team artifact/whiteboard plan exists.,,True,Support goal.
G_TEAM_VALIDATE_EXTERNALIZATIONS,support,Validate externalizations,Check whether whiteboard plans and constructions match current rule understanding.,all,Relevant artifacts reviewed and validation status updated.,R_HOUSE_VALIDITY|R_GREENHOUSE_VALIDITY|R_WATERGEN_VALIDITY,True,Support goal.
G_TEAM_REPAIR_EXTERNALIZATIONS,support,Repair incorrect externalizations,Revise or repair incorrect constructions or planning artifacts.,all,Mismatching artifact revised or repaired.,R_HOUSE_VALIDITY|R_GREENHOUSE_VALIDITY|R_WATERGEN_VALIDITY,True,Support goal.
G_ACQUIRE_MISSING_DIK,support,Acquire missing DIK,Inspect packets/artifacts or request information needed for active goals.,all,Required DIK prerequisites for active goal obtained or delegated.,,True,Support goal.
